Puntaje,Tiempo,Muertes
Nivel 1,22,0
Nivel 1,22,0
Nivel 1,22,0
Nivel 1,22,0
Nivel 1,22,0
Nivel 1,22,0
Nivel 1,22,0
Nivel 1,22,0
Nivel 1,22,0
Nivel 1,22,0
Nivel 1,22,0
Nivel 1,22,0
Nivel 1,22,0
Nivel 1,22,0
Nivel 1,22,0
Nivel 1,22,0
Nivel 1,22,0
Nivel 1,22,0
Nivel 1,22,0
Nivel 1,22,0
Nivel 1,22,0
Nivel 1,22,0
Nivel 1,22,0
Nivel 1,22,0
Nivel 1,22,0
Nivel 1,22,0
Nivel 1,22,0
Nivel 1,22,0
Nivel 1,22,0
Nivel 1,22,0
Nivel 1,22,0
Nivel 1,22,0
Nivel 1,23,0
Nivel 1,23,0
Nivel 1,23,0
Nivel 1,23,0
Nivel 1,23,0
Nivel 1,23,0
Nivel 1,23,0
Nivel 1,23,0
Nivel 1,23,0
Nivel 1,23,0
Nivel 1,23,0
Nivel 1,23,0
Nivel 1,23,0
Nivel 1,23,0
Nivel 1,23,0
Nivel 1,23,0
Nivel 1,23,0
Nivel 1,23,0
Nivel 1,23,0
Nivel 1,23,0
Nivel 1,23,0
Nivel 1,23,0
Nivel 1,23,0
Nivel 1,23,0
Nivel 1,23,0
Nivel 1,23,0
Nivel 1,23,0
Nivel 1,23,0
Nivel 1,23,0
Nivel 1,23,0
Nivel 1,23,0
Nivel 1,23,0
Nivel 1,23,0
Nivel 1,23,0
Nivel 1,23,0
